id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label
2,4,24,2778,1365.1195138120977,35,177,133,121.0,1.0991735537190082,119.0,1.1176470588235294,30,30.0,1.0,30.0,1.0,77.0,72.0,0.935064935064935,20,0,T-wave
2,4,25,2850,1365.4075145534105,36,148,119,133.0,0.8947368421052632,107.0,1.1121495327102804,30,30.0,1.0,30.0,1.0,72.0,71.0,0.9861111111111112,21,0,T-wave
2,4,26,2921,1365.6915152844272,37,126,107,119.0,0.8991596638655462,169.0,0.6331360946745562,30,30.0,1.0,30.0,1.0,71.0,78.0,1.0985915492957747,22,0,T-wave
2,4,27,2999,1366.003516087516,38,213,169,107.0,1.5794392523364487,65.0,2.6,30,30.0,1.0,30.0,1.0,78.0,76.0,0.9743589743589743,23,0,T-wave
2,4,28,3075,1366.3075168700127,39,105,65,169.0,0.38461538461538464,276.0,0.23550724637681159,30,30.0,1.0,12.0,2.5,76.0,65.0,0.8552631578947368,24,0,T-wave
2,4,29,3140,1366.5675175392535,40,292,276,65.0,4.246153846153846,121.0,2.28099173553719,12,30.0,0.4,30.0,0.4,65.0,79.0,1.2153846153846153,25,0,T-wave
2,4,30,3219,1366.8835183526382,41,146,121,276.0,0.4384057971014493,131.0,0.9236641221374046,30,12.0,2.5,30.0,1.0,79.0,76.0,0.9620253164556962,26,0,T-wave
2,4,31,3295,1367.187519135135,42,177,131,121.0,1.0826446280991735,118.0,1.1101694915254237,30,30.0,1.0,30.0,1.0,76.0,73.0,0.9605263157894737,27,0,T-wave
2,4,32,3368,1367.4795198867437,43,162,118,131.0,0.9007633587786259,118.0,1.0,30,30.0,1.0,30.0,1.0,73.0,75.0,1.0273972602739727,28,0,T-wave
2,4,33,3443,1367.7795206589446,44,144,118,118.0,1.0,93.0,1.2688172043010753,30,30.0,1.0,30.0,1.0,75.0,72.0,0.96,29,0,T-wave
2,4,34,3515,1368.0675214002572,45,110,93,118.0,0.788135593220339,241.0,0.38589211618257263,30,30.0,1.0,28.0,1.0714285714285714,72.0,74.0,1.0277777777777777,30,0,T-wave
2,4,35,3589,1368.363522162162,46,296,241,93.0,2.5913978494623655,120.0,2.0083333333333333,28,30.0,0.9333333333333333,30.0,0.9333333333333333,74.0,72.0,0.972972972972973,31,0,T-wave
2,4,36,3661,1368.6515229034746,47,141,120,241.0,0.4979253112033195,112.0,1.0714285714285714,30,28.0,1.0714285714285714,30.0,1.0,72.0,79.0,1.0972222222222223,32,0,T-wave
2,4,37,3740,1368.9675237168597,48,154,112,120.0,0.9333333333333333,108.0,1.037037037037037,30,30.0,1.0,29.0,1.0344827586206897,79.0,74.0,0.9367088607594937,33,0,T-wave
2,4,38,3814,1369.2635244787646,49,145,108,112.0,0.9642857142857143,140.0,0.7714285714285715,29,30.0,0.9666666666666667,25.0,1.16,74.0,73.0,0.9864864864864865,34,0,T-wave
2,4,39,3887,1369.5555252303732,50,186,140,108.0,1.2962962962962963,169.0,0.8284023668639053,25,29.0,0.8620689655172413,30.0,0.8333333333333334,73.0,68.0,0.9315068493150684,35,0,T-wave
2,4,40,3955,1369.8275259305017,51,158,169,140.0,1.207142857142857,135.0,1.2518518518518518,30,25.0,1.2,30.0,1.0,68.0,80.0,1.1764705882352942,36,0,T-wave
2,4,41,4035,1370.1475267541828,52,172,135,169.0,0.7988165680473372,97.0,1.3917525773195876,30,30.0,1.0,30.0,1.0,80.0,77.0,0.9625,37,0,T-wave
2,4,42,4112,1370.4555275469754,53,118,97,135.0,0.7185185185185186,145.0,0.6689655172413793,30,30.0,1.0,30.0,1.0,77.0,73.0,0.948051948051948,38,0,T-wave
2,4,43,4185,1370.7475282985843,54,171,145,97.0,1.4948453608247423,173.0,0.838150289017341,30,30.0,1.0,24.0,1.25,73.0,75.0,1.0273972602739727,39,0,T-wave
2,4,44,4260,1371.047529070785,55,217,173,145.0,1.193103448275862,130.0,1.3307692307692307,24,30.0,0.8,30.0,0.8,75.0,78.0,1.04,40,0,T-wave
2,4,45,4338,1371.3595298738737,56,174,130,173.0,0.7514450867052023,111.0,1.1711711711711712,30,24.0,1.25,26.0,1.1538461538461537,78.0,73.0,0.9358974358974359,41,0,T-wave
2,4,46,4411,1371.6515306254826,57,137,111,130.0,0.8538461538461538,150.0,0.74,26,30.0,0.8666666666666667,30.0,0.8666666666666667,73.0,75.0,1.0273972602739727,42,0,T-wave
2,4,47,4486,1371.9515313976833,58,188,150,111.0,1.3513513513513513,112.0,1.3392857142857142,30,26.0,1.1538461538461537,29.0,1.0344827586206897,75.0,72.0,0.96,43,0,T-wave
2,4,48,4558,1372.239532138996,59,131,112,150.0,0.7466666666666667,121.0,0.9256198347107438,29,30.0,0.9666666666666667,30.0,0.9666666666666667,72.0,77.0,1.0694444444444444,44,0,T-wave
2,4,49,4635,1372.547532931789,60,144,121,112.0,1.0803571428571428,171.0,0.7076023391812866,30,29.0,1.0344827586206897,28.0,1.0714285714285714,77.0,71.0,0.922077922077922,45,0,T-wave
2,4,50,4706,1372.8315336628054,61,175,171,121.0,1.4132231404958677,109.0,1.5688073394495412,28,30.0,0.9333333333333333,30.0,0.9333333333333333,71.0,76.0,1.0704225352112675,46,0,T-wave
2,4,51,4782,1373.1355344453023,62,114,109,171.0,0.6374269005847953,113.0,0.9646017699115044,30,28.0,1.0714285714285714,30.0,1.0,76.0,76.0,1.0,47,0,T-wave
2,4,52,4858,1373.4395352277993,63,135,113,109.0,1.036697247706422,121.0,0.9338842975206612,30,30.0,1.0,30.0,1.0,76.0,74.0,0.9736842105263158,48,0,T-wave
2,4,53,4932,1373.735535989704,64,142,121,113.0,1.0707964601769913,,,30,30.0,1.0,,,74.0,,,49,1,T-wave
2,5,0,1331,1429.331679093951,16,154,154,49.0,3.142857142857143,77.0,2.0,30,13.0,2.3076923076923075,27.0,1.1111111111111112,111.0,85.0,0.7657657657657657,1,0,Physio
2,5,1,1416,1429.671679969112,17,85,77,154.0,0.5,138.0,0.5579710144927537,27,30.0,0.9,28.0,0.9642857142857143,85.0,83.0,0.9764705882352941,2,0,T-wave
2,5,2,1499,1430.0036808236807,18,148,138,77.0,1.7922077922077921,122.0,1.1311475409836065,28,27.0,1.037037037037037,30.0,0.9333333333333333,83.0,80.0,0.963855421686747,3,0,T-wave
2,5,3,1579,1430.3236816473616,19,128,122,138.0,0.8840579710144928,90.0,1.3555555555555556,30,28.0,1.0714285714285714,28.0,1.0714285714285714,80.0,82.0,1.025,4,0,T-wave
2,5,4,1661,1430.6516824916346,20,99,90,122.0,0.7377049180327869,61.0,1.4754098360655739,28,30.0,0.9333333333333333,9.0,3.111111111111111,82.0,67.0,0.8170731707317073,5,0,T-wave
2,5,5,1728,1430.9196831814672,21,24,61,90.0,0.6777777777777778,85.0,0.7176470588235294,9,28.0,0.32142857142857145,18.0,0.5,67.0,61.0,0.9104477611940298,6,0,T-wave
4,4,0,4228,1812.9196495541016,54,262,254,2148.0,0.11824953445065177,189.0,1.343915343915344,23,30.0,0.7666666666666667,24.0,0.9583333333333334,123.0,130.0,1.056910569105691,1,1,Noise
4,5,0,1222,1870.8957662647206,13,41,41,292.0,0.1404109589041096,324.0,0.12654320987654322,27,13.0,2.076923076923077,26.0,1.0384615384615385,122.0,69.0,0.5655737704918032,1,0,Noise
4,5,1,1291,1871.171766820332,14,106,324,41.0,7.902439024390244,283.0,1.1448763250883391,26,27.0,0.9629629629629629,14.0,1.8571428571428572,69.0,62.0,0.8985507246376812,2,0,T-wave
6,3,0,2299,1940.2035813567143,28,1399,1352,533.0,2.5365853658536586,1860.0,0.7268817204301076,22,12.0,1.8333333333333333,30.0,0.7333333333333333,67.0,176.0,2.626865671641791,1,1,Noise
7,1,0,1042,919.1184251081794,11,55,1115,77.0,14.480519480519481,51.0,21.862745098039216,23,13.0,1.7692307692307692,28.0,0.8214285714285714,68.0,62.0,0.9117647058823529,1,0,Physio
7,1,1,1104,919.3664257625329,12,52,51,1115.0,0.045739910313901344,342.0,0.14912280701754385,28,23.0,1.2173913043478262,13.0,2.1538461538461537,62.0,150.0,2.4193548387096775,2,0,T-wave
